Date,Count
3/5/20,2
3/6/20,3
3/7/20,5
3/8/20,5
3/9/20,6
3/10/20,7
3/11/20,7
3/12/20,8
3/13/20,9
3/14/20,11
3/15/20,13
3/16/20,13
3/17/20,16
3/18/20,28
3/19/20,35
3/20/20,55
3/21/20,68
3/22/20,74
3/23/20,78
3/24/20,134
3/25/20,185
3/26/20, 203
3/27/20, 229
3/28/20, 445
3/29/20, 526
3/30/20, 563
3/31/20, 680
4/1/20,847
4/2/20, 955
4/3/20, 1106
4/4/20,1284
4/5/20,1395
4/6/20,1809
4/7/20,2146
4/8/20,2341
4/9/20,3047
4/10/20,3261
4/11/20,3561
4/12/20,3629
4/13/20,3744
4/14/20,3907
4/15/20,4097
4/16/20,4306
4/17/20,4460
4/18/20,4653
4/19/20,4823
4/20/20,4977
4/21/20,5143
4/22/20,5211
4/23/20,5282
4/24/20,5482
4/25/20,5628
4/26/20,5729
4/27/20,5827
4/28/20,5986
4/29/20,6161
4/30/20,6356
5/1/20,6551
5/2/20,6708
5/3/20,6838
5/4/20,6967
5/5/20,7128
5/6/20,7244
5/7/20,7377
5/8/20,7594
5/9/20,7803
5/10/20,7878
5/11/20,8176
5/12/20,8416
5/13/20,8621
5/14/20,8817
5/15/20,9050
5/16/20,9126
5/17/20,9465
5/18/20,9635
5/19/20,9859
5/20/20,10095
5/21/20,10283
5/22/20,10526
5/23/20,10770
5/24/20,10921
5/25/20,10995
5/26/20,11281
5/27/20,11542
5/28/20,11770
5/29/20,12009
5/30/20,12220
5/31/20,12276
6/1/20,12664
6/2/20,13027
6/3/20,13268
6/4/20,13603
6/5/20,13940
6/6/20,14423
6/7/20,14586
6/8/20,14918
6/9/20,15238
6/10/20,15552
6/11/20,15864
6/12/20,16184
6/13/20,16568
6/14/20,16778
6/15/20,17282
6/16/20,17707
6/17/20,18157
6/18/20,18552
6/19/20,19739
6/20/20,20874
6/21/20,21053
6/22/20,23047
6/23/20,24421
6/24/20,25786
6/25/20,27017
6/26/20,28255
6/27/20,29163
6/28/20,29276
6/29/20,30729
6/30/20,31424
7/1/20,32859
7/2/20,34108
7/3/20,35316
7/4/20,35913
7/5/20,36597
7/6/20,37776
7/7/20,39311
7/8/20,40012
7/9/20,40919
7/10/20,42000
7/11/20,43939
7/12/20,45368
7/13/20,47369
7/14/20,49027
7/15/20,50370
7/16/20,51969
7/17/20,53555
7/18/20,54806
7/19/20,55769
7/20/20,57095
7/21/20,58480
7/22/20,59924
7/23/20,61416
7/24/20,62619
7/25/20,64113
7/26/20,65349
7/27/20,66195
7/28/20,67660
7/29/20,69126
7/30/20,70850
7/31/20,72964
