Date,Pointdata,USAFACTSData,JH
3/1/20,,,1
3/2/20,,,1
3/3/20,,,1
3/4/20,1,0,1
3/5/20,5,3,4
3/6/20,9,4,5
3/7/20,9,8,9
3/8/20,12,11,12
3/9/20,13,16,14
3/10/20,21,21,13
3/11/20,23,21,21
3/12/20,32,23,27
3/13/20,51,38,43
3/14/20,64,51,57
3/15/20,77,59,72
3/16/20,96,60,85
3/17/20,134,76,110
3/18/20,227,107,173
3/19/20,320,230,260
3/20/20,437,304,394
3/21/20,564,338,581
3/22/20,676,362,643
3/23/20,812,684,758
3/24/20,1034,874,995
3/25/20,1364,,1229
3/26/20,1665,,1563
3/27/20,2009,,1937
3/28/20,2533,,2445
3/29/20,2851,,2792
3/30/20,3343,,3147
3/31/20,3929,,3809
4/1/20, 4601,,4355
4/2/20,5251,,5069
4/3/20,6057,,5734
4/4/20,6764,,6556
4/5/20,7266,,7209
4/6/20, 8157,,8043
4/7/20,9212,,8925
4/8/20,10078,,9777
4/9/20,11483,,11208
4/10/20,12379,,12105
4/11/20,13352,,13023
4/12/20,13884,,13677
4/13/20,14504,,14275
4/14/20,15340,,15006
4/15/20,16288,,15907
4/16/20,17265,,16876
4/17/20,18078,,17849
4/18/20,18924,,18704
4/19/20,19404,,19260
4/20/20,20086,,19751
4/21/20,20975,,20574
4/22/20,21774,,21321
4/23/20,22650,,22650
4/24/20,23642,,23642
4/25/20,24158,,24153
4/26/20,24967,,24967
4/27/20,25321,,25321
4/28/20,26357,,26357
4/29/20,27373,,27257
4/30/20,28707,,28727
5/1/20,29935,,29692
5/2/20,31164,,30917
5/3/20,31998,,31998	
5/4/20,32878,,32783
5/5/20,33906,,33912
5/6/20,34928,,34928
5/7/20,36045,,36036
5/8/20,37417,,37246
5/9/20,38394,,38394
5/10/20,39258,,39258
5/11/20,40590,,40555
5/12/20,41723,,41432
5/13/20,42998,,43020
5/14/20,44484,,44480
5/15/20,45858,,45721
5/16/20,47452,,47452
5/17/20,48396,,48396
5/18/20,49162,,49177
5/19/20,50585,,50552
5/20/20,51703,,51673
5/21/20,52946,,53053
5/22/20,53475,,53539
5/23/20,54708,,54776
5/24/20,55885,,55861
5/25/20,56374,,56409
5/26/20,57229,,57230
5/27/20,58562,,58542
5/28/20,60427,,60035
5/29/20,61630,,60901
5/30/20,62880,,
5/31/20,64652,,
6/1/20,65614,,
6/2/20,67315,,
6/3/20,68876,,
6/4/20,70751,
6/5/20,72544,,
6/6/20,74468,,
6/7/20,75408,,
6/8/20,76178,,
6/9/20,78185,,
6/10/20,80766,,
6/11/20,82650,,
6/12/20,84959,,
6/13/20,86915,,
6/14/20,88523,,
6/15/20,90174,,
6/16/20,93915,,
6/17/20,97216,,
6/18/20,101241,,
6/19/20,105488
6/20/20,109581
6/21/20,112944
6/22/20,117737,,
